Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Chili (हरी मिर्च),Vegetable/Spice,40,2,9,0.2,Pungent (कटु),Heating (उष्ण),"Sharp, Light (तीक्ष्ण, लघु)",Pungent (कटु),"Balances K. Increases V, P.","Strongly heating, stimulates digestion."
Onion (प्याज),Vegetable,40,1.1,9,0.1,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances K, V. Increases P.","Good for heart, improves digestion."
Garlic (लहसुन),Spice/Vegetable,149,6.4,33,0.5,Pungent (कटु),Heating (उष्ण),"Sharp, Light (तीक्ष्ण, लघु)",Pungent (कटु),"Balances V, K. Increases P.","Antimicrobial, enhances immunity."
Leek (लीक),Vegetable,61,1.5,14,0.3,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),"Light, Oily (लघु, स्निग्ध)",Sweet (मधुर),"Balances K, V. Increases P.","Mildly heating, good for circulation."
Celery (अजवाइन पत्ता),Vegetable,16,0.7,3,0.2,"Astringent, Bitter (कषाय, तिक्त)",Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Can increase V.","Diuretic, reduces water retention."
Parsley (अजमोद पत्ता),Herb,36,3,6,0.8,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances V, K. Increases P.","Good for digestion, kidney health."
Mint (पुदीना),Herb,44,3.8,8,0.7,"Pungent, Astringent (कटु, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Soothing, aids digestion."
Coriander Leaves (धनिया पत्ता),Herb,23,2.1,3.7,0.5,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Cooling, improves taste."
Turmeric Leaves (हल्दी पत्ता),Herb,50,1.8,12,0.7,"Bitter, Astringent (तिक्त, कषाय)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances V, K. Increases P.",Used in sweets and curries.
Curry Leaves (कड़ी पत्ता),Herb,108,6,18,1,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances V, K. Increases P.","Improves digestion, hair health."
Drumstick (सहजन फल),Vegetable,37,2.1,8,0.2,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Increases P.","Improves digestion, very nutritious."
Cluster Beans (ग्वार फली),Vegetable,43,3.2,8.9,1.4,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases V, P.","Can cause gas, best with spices."
French Beans (फ्रेंच बीन्स),Vegetable,31,1.8,7,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Rich in fiber and vitamins.
Broad Beans (सेम फली),Vegetable,88,8,17,0.7,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Strengthening, good protein source."
Lima Beans (सफेद सेम),Pulse/Vegetable,338,21,63,0.7,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances P. Increases V, K.","High protein, gas forming."
Kidney Beans (राजमा),Pulse,333,24,60,1.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Very nourishing, but heavy to digest."
Black-Eyed Peas (लोबिया),Pulse,336,23,60,1.6,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances P. Increases V, K.",Good protein source.
Soybean (सोयाबीन),Pulse,446,36,30,20,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Rich in protein, hormone balancing."
Green Gram Whole (मूंग साबुत),Pulse,347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Light and easy to digest.
Red Lentils (मसूर दाल),Pulse,352,25,60,1.1,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P. Increases V, K.","High iron, good for blood."
Chana Dal (चना दाल),Pulse,364,20,60,6,Sweet (मधुर),Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances K. Increases V, P.","Strength-giving, heavy to digest."
Masoor Whole (मसूर साबुत),Pulse,352,26,60,1.2,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances P. Increases V, K.",Rich in minerals.
Matki (मटकी),Pulse,343,23,62,1.6,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.","Common sprout, easy digestibility."
Moth Beans (मटकी बीन्स),Pulse,343,23,62,1.6,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Good for sprouting.
Peas Dry (सूखी मटर),Pulse,118,8,21,0.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Heavy unless soaked.
Oats (जई),Cereal,389,16.9,66,6.9,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Nourishing, good for cholesterol."
Ragi (Nachni) (रागी),Millet,336,7.3,72,1.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P, K. Can increase V.","Rich in calcium, strengthens bones."
Jowar (ज्वार),Millet,329,10.4,72,1.9,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P. Increases V, K.","Gluten-free, good for digestion."
Bajra (बाजरा),Millet,378,11.6,67,5,Sweet (मधुर),Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V. Increases P, K.","Warming, ideal in winter."
Foxtail Millet (कांगनी),Millet,351,12,63,4,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P. Increases V, K.",Helps control blood sugar.
Little Millet (कुटकी),Millet,341,9,67,4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Easily digestible, good for diabetics."
Barnyard Millet (सांवा),Millet,307,11.2,65,3.9,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Very light, used in fasting."
Kodo Millet (कोदो),Millet,353,9.8,66,3.6,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Rich in fiber, regulates weight."
Proso Millet (चिना),Millet,356,12.5,70,1.5,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P. Increases V, K.",High protein millet.
Barley (जौ),Cereal,352,9.9,73,1.2,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, P. Can increase V.","Excellent for obesity, urinary health."
Rice (चावल) - White,Cereal,130,2.4,28,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.","Easily digestible, nourishing."
Rice (चावल) - Brown,Cereal,111,2.6,23,0.9,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.","Higher fiber, nourishing."
Corn (मक्का),Cereal,365,9,74,4.7,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Strengthening, good for heart."
Mango (आम),Fruit,60,0.8,15,0.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Ripe fruit is strengthening.
Papaya (पपीता),Fruit,43,0.5,11,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Improves digestion, laxative."
Guava (अमरूद),Fruit,68,2.6,14,1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",High in Vitamin C.
Litchi (लीची),Fruit,66,0.8,16,0.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Sweet, hydrating."
Watermelon (तरबूज),Fruit,30,0.6,8,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Excellent for P, K. Can increase V.","Very hydrating, best in summer."
Muskmelon (खरबूजा),Fruit,34,0.8,8,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Soothing, sweet, summer fruit."
Grapes (अंगूर),Fruit,69,0.7,18,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Good for blood, digestion."
Orange (संतरा),Fruit,47,0.9,12,0.1,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Rich in Vitamin C.
Lemon (नींबू),Fruit,29,1.1,9,0.3,Sour (अम्ल),Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances K. Increases V, P.",Digestive stimulant.
Gooseberry (आंवला),Fruit,44,0.9,10,0.6,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Powerful rejuvenator.
Pineapple (अनानास),Fruit,50,0.5,13,0.1,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Increases P, K.",Improves digestion.
Jackfruit (कटहल),Fruit,95,1.7,23,0.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Strengthening, heavy fruit."
Fig (अंजीर),Fruit,74,0.8,19,0.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases K, V.","Mild laxative, nourishing."
Date (खजूर),Fruit,277,2,75,0.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Rich in iron, energy booster."
Plum (आलूबुखारा),Fruit,46,0.7,11,0.3,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Mild laxative.
Peach (आड़ू),Fruit,39,0.9,10,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Light and juicy fruit.
Apricot (खुबानी),Fruit,48,1.4,11,0.4,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in Vitamin A.
Cherry (चेरी),Fruit,50,1,12,0.3,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Good antioxidant source.
Strawberry (स्ट्रॉबेरी),Fruit,32,0.7,7,0.3,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Rich in Vitamin C.
Blueberry (ब्लूबेरी),Fruit,57,0.7,14,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Rich in antioxidants.
Blackberry (जामुन),Fruit,43,1.4,10,0.5,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Good for blood sugar.
Raspberry (रसभरी),Fruit,52,1.2,12,0.7,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Rich in Vitamin C.
Mulberry (शहतूत),Fruit,43,1.4,10,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Good for anemia.
Custard Apple (सीताफल),Fruit,94,2.1,23,0.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Very nourishing, heavy fruit."
Starfruit (कमरख),Fruit,31,1,7,0.3,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P, K. Can increase V.","Refreshing, tangy fruit."
Kiwi (कीवी),Fruit,61,1.1,15,0.5,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.","Rich in Vitamin C, antioxidant."
Dragon Fruit (पिताया),Fruit,60,1.2,13,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Exotic, hydrating fruit."
Avocado (एवोकाडो),Fruit,160,2,9,15,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.",Rich in healthy fats.
Olive (जैतून),Fruit,115,0.8,6,11,"Bitter, Astringent (तिक्त, कषाय)",Heating (उष्ण),Oily (स्निग्ध),Pungent (कटु),"Balances V. Increases P, K.","Used for oil, digestion aid."
Coconut Water (नारियल पानी),Fruit Drink,19,0.7,4,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Hydrating, good for urinary tract."
Coconut Flesh (नारियल गिरी),Fruit,354,3,15,33,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.","Nourishing, high fat."
Raisins (किशमिश),Dry Fruit,299,3,79,0.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Energy-giving, improves blood."
Prunes (सूखे आलूबुखारे),Dry Fruit,240,2.2,64,0.4,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Natural laxative.
Almond (बादाम),Dry Fruit,579,21,22,50,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, K. Increases P.","Brain tonic, nourishing."
Cashew (काजू),Dry Fruit,553,18,30,44,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.","Strengthening, heavy food."
Pistachio (पिस्ता),Dry Fruit,562,20,28,45,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V, K. Increases P.",Good for heart.
